orderable_part_id,device_id,manufacturer,family,series,product_line,device_name,part_number,manufacturer_suffix,package_code,temperature_grade_code,packing_code,package_name,temperature_range,packing_form,lifecycle,source_id,source_url,observed_at,verification_status,decode_status
microchip::at90usb646-au,microchip::at90usb646,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90USB646,AT90USB646-AU,-AU,,,,TQFP64,-40..85 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90usb646-mu,microchip::at90usb646,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90USB646,AT90USB646-MU,-MU,,,,QFN64,-40..85 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90usb647-au,microchip::at90usb647,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90USB647,AT90USB647-AU,-AU,,,,TQFP64,-40..85 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90usb647-mu,microchip::at90usb647,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90USB647,AT90USB647-MU,-MU,,,,QFN64,-40..85 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90usb82-16mu,microchip::at90usb82,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90USB82,AT90USB82-16MU,-16MU,,,,QFN32,-40..85 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90usb82-16mur,microchip::at90usb82,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90USB82,AT90USB82-16MUR,-16MUR,,,,QFN32,-40..85 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::atmega128rfa1-zf,microchip::atmega128rfa1,Microchip,AVR,AVR 8-bit,Classic ATmega,ATmega128RFA1,ATMEGA128RFA1-ZF,-ZF,,,,VQFN64,-40..125 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::atmega128rfa1-zfr,microchip::atmega128rfa1,Microchip,AVR,AVR 8-bit,Classic ATmega,ATmega128RFA1,ATMEGA128RFA1-ZFR,-ZFR,,,,VQFN64,-40..125 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::atmega128rfa1-zu,microchip::atmega128rfa1,Microchip,AVR,AVR 8-bit,Classic ATmega,ATmega128RFA1,ATMEGA128RFA1-ZU,-ZU,,,,VQFN64,-40..85 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::atmega128rfa1-zu00,microchip::atmega128rfa1,Microchip,AVR,AVR 8-bit,Classic ATmega,ATmega128RFA1,ATMEGA128RFA1-ZU00,-ZU00,,,,VQFN64,-40..85 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
