source_id,source_type,publisher,title,url,version,observed_at,verification_scope
qinheng:ch32-data-yaml:CH32V305RBT6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32V305RBT6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32V305RBT6.yaml,main;sha256:d9acb6f42cf58ab41e9767fa4502b2ee6968c2024267a0e6502d7a9bb0e96752,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32V307RCT6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32V307RCT6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32V307RCT6.yaml,main;sha256:70ab0ac4afec1a9de83538e6b099d82a5df9ce6a29b05e570cb0f68949674ea9,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32V307VCT6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32V307VCT6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32V307VCT6.yaml,main;sha256:afac1f1a3f20069e24a906bf6720268f37179206e912011bb1dfb9a733e0bf20,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32V307WCU6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32V307WCU6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32V307WCU6.yaml,main;sha256:716d028831df21a5dc084b8e5c941d7c4abe66e0f39c03c21aee2885e7e468ef,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32V317VCT6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32V317VCT6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32V317VCT6.yaml,main;sha256:0cd291b035fd787379a2b0872b04269e980d6fb84c1f81f2d9400b6a203ec063,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32V317WCU6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32V317WCU6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32V317WCU6.yaml,main;sha256:0cbb064da886caf67aa20bff1fa1501e87d90c3a5e95a5cd16467b7878d673ed,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH564.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH564.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH564.yaml,main;sha256:83654d73051fb0ce8b86fa1495f59d02a2774525683a766c8280d769a8cd892f,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH569.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH569.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH569.yaml,main;sha256:cf50a54c4bf5a274cd4e43b828c1955213edfe3a70dbf7d94aad3aad9b116a3e,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH571.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH571.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH571.yaml,main;sha256:303d99d945f2cb8c6a4505822a09149319338d939f6cf52156f2327db6692a63,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH573.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH573.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH573.yaml,main;sha256:5cabf7f8e764155064d35a091c803c2885aa38849fe262558212d10155e30d27,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH581.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH581.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH581.yaml,main;sha256:b08a05562190b7c1c275e81ff89cd7f41134ca66e8a207e100c58832bf60cee0,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH582.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH582.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH582.yaml,main;sha256:ba73f6a19e204f80e54e42947d1668ec98a21b5e3f9f4b84850014d7841db1fe,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH583.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH583.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH583.yaml,main;sha256:7349e593944cbe7ac45370972087848fafb7239b2043e4e83cd59e1628624f40,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH591.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH591.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH591.yaml,main;sha256:5189378b20f5c33f8c2ba129cf188d75fc67dee869f01a96a5d8f4fdc2637d76,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH592.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH592.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH592.yaml,main;sha256:73989f15627a685e2d5e9920aa42c35fdab06a7cbbc5830e70e702081ba54da1,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
