orderable_part_id,device_id,manufacturer,family,series,product_line,device_name,part_number,manufacturer_suffix,package_code,temperature_grade_code,packing_code,package_name,temperature_range,packing_form,lifecycle,source_id,source_url,observed_at,verification_status,decode_status
artery::at32f403avet7,artery::at32f403avet7,Artery,AT32,AT32F,AT32F403A,AT32F403AVET7,AT32F403AVET7,VET7,VET7,,,LQFP100,,,active,artery:cmsis:at32f403a,https://github.com/ArteryTek/AT32F403A_407_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f403avgt7,artery::at32f403avgt7,Artery,AT32,AT32F,AT32F403A,AT32F403AVGT7,AT32F403AVGT7,VGT7,VGT7,,,LQFP100,,,active,artery:cmsis:at32f403a,https://github.com/ArteryTek/AT32F403A_407_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f403cct6,artery::at32f403cct6,Artery,AT32,AT32F,AT32F403,AT32F403CCT6,AT32F403CCT6,CCT6,CCT6,,,LQFP48,,,active,artery:cmsis:at32f403,https://github.com/ArteryTek/AT32F403_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f403ccu6,artery::at32f403ccu6,Artery,AT32,AT32F,AT32F403,AT32F403CCU6,AT32F403CCU6,CCU6,CCU6,,,LQFP48,,,active,artery:cmsis:at32f403,https://github.com/ArteryTek/AT32F403_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f403cet6,artery::at32f403cet6,Artery,AT32,AT32F,AT32F403,AT32F403CET6,AT32F403CET6,CET6,CET6,,,LQFP48,,,active,artery:cmsis:at32f403,https://github.com/ArteryTek/AT32F403_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f403ceu6,artery::at32f403ceu6,Artery,AT32,AT32F,AT32F403,AT32F403CEU6,AT32F403CEU6,CEU6,CEU6,,,LQFP48,,,active,artery:cmsis:at32f403,https://github.com/ArteryTek/AT32F403_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f403cgt6,artery::at32f403cgt6,Artery,AT32,AT32F,AT32F403,AT32F403CGT6,AT32F403CGT6,CGT6,CGT6,,,LQFP48,,,active,artery:cmsis:at32f403,https://github.com/ArteryTek/AT32F403_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f403cgu6,artery::at32f403cgu6,Artery,AT32,AT32F,AT32F403,AT32F403CGU6,AT32F403CGU6,CGU6,CGU6,,,LQFP48,,,active,artery:cmsis:at32f403,https://github.com/ArteryTek/AT32F403_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f403rct6,artery::at32f403rct6,Artery,AT32,AT32F,AT32F403,AT32F403RCT6,AT32F403RCT6,RCT6,RCT6,,,LQFP64,,,active,artery:cmsis:at32f403,https://github.com/ArteryTek/AT32F403_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f403ret6,artery::at32f403ret6,Artery,AT32,AT32F,AT32F403,AT32F403RET6,AT32F403RET6,RET6,RET6,,,LQFP64,,,active,artery:cmsis:at32f403,https://github.com/ArteryTek/AT32F403_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f403rgt6,artery::at32f403rgt6,Artery,AT32,AT32F,AT32F403,AT32F403RGT6,AT32F403RGT6,RGT6,RGT6,,,LQFP64,,,active,artery:cmsis:at32f403,https://github.com/ArteryTek/AT32F403_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f403vct6,artery::at32f403vct6,Artery,AT32,AT32F,AT32F403,AT32F403VCT6,AT32F403VCT6,VCT6,VCT6,,,LQFP100,,,active,artery:cmsis:at32f403,https://github.com/ArteryTek/AT32F403_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f403vet6,artery::at32f403vet6,Artery,AT32,AT32F,AT32F403,AT32F403VET6,AT32F403VET6,VET6,VET6,,,LQFP100,,,active,artery:cmsis:at32f403,https://github.com/ArteryTek/AT32F403_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f403vgt6,artery::at32f403vgt6,Artery,AT32,AT32F,AT32F403,AT32F403VGT6,AT32F403VGT6,VGT6,VGT6,,,LQFP100,,,active,artery:cmsis:at32f403,https://github.com/ArteryTek/AT32F403_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32f403zct6,artery::at32f403zct6,Artery,AT32,AT32F,AT32F403,AT32F403ZCT6,AT32F403ZCT6,ZCT6,ZCT6,,,LQFP144,,,active,artery:cmsis:at32f403,https://github.com/ArteryTek/AT32F403_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
