pack_vendor,pack_name,pack_version,pdsc_url,deprecated,replacement,index_timestamp,selected_for_import,fetch_status,device_count,error
MindMotion,MM32L3xx_DFP,1.0.8,https://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32L3xx_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
MindMotion,MM32P0xx_DFP,1.0.9,https://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32P0xx_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
MindMotion,MM32SPIN0x_DFP,1.0.8,https://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32SPIN0x_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
MindMotion,MM32SPIN2x_DFP,1.1.6,https://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32SPIN2x_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
MindMotion,MM32SPIN0280_DFP,0.0.1,https://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32SPIN0280_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
MindMotion,MM32W0xxB_DFP,1.0.6,https://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32W0xxB_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
MindMotion,MM32W3xxB_DFP,1.0.9,https://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32W3xxB_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
MindMotion,MM32W0130_DFP,1.0.1,https://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32W0130_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
NXP,MIMXRT1051_A0_DFP,10.0.0,https://mcuxpresso.nxp.com/cmsis_pack/repo/NXP.MIMXRT1051_A0_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
NXP,MIMXRT1052_A0_DFP,10.0.0,https://mcuxpresso.nxp.com/cmsis_pack/repo/NXP.MIMXRT1052_A0_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
NXP,MIMX8MD6_DFP,10.0.0,https://mcuxpresso.nxp.com/cmsis_pack/repo/NXP.MIMX8MD6_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
NXP,MIMX8MD7_DFP,10.0.0,https://mcuxpresso.nxp.com/cmsis_pack/repo/NXP.MIMX8MD7_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
NXP,MIMX8MQ5_DFP,10.0.0,https://mcuxpresso.nxp.com/cmsis_pack/repo/NXP.MIMX8MQ5_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
NXP,MIMX8MQ6_DFP,10.0.0,https://mcuxpresso.nxp.com/cmsis_pack/repo/NXP.MIMX8MQ6_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
NXP,MIMX8MQ7_DFP,10.0.0,https://mcuxpresso.nxp.com/cmsis_pack/repo/NXP.MIMX8MQ7_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
NXP,LPC810_DFP,13.0.0,https://mcuxpresso.nxp.com/cmsis_pack/repo/NXP.LPC810_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
NXP,LPC811_DFP,13.0.0,https://mcuxpresso.nxp.com/cmsis_pack/repo/NXP.LPC811_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
NXP,LPC812_DFP,13.0.0,https://mcuxpresso.nxp.com/cmsis_pack/repo/NXP.LPC812_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
NXP,QN908x_DFP,1.1.5,https://mcuxpresso.nxp.com/cmsis_pack/repo/NXP.QN908x_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
NXP,iMXRT_DFP,1.0.3,https://mcuxpresso.nxp.com/cmsis_pack/repo/NXP.iMXRT_DFP.pdsc,2018-07-27,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
NXP,MK11D5_DFP,10.0.1,https://mcuxpresso.nxp.com/cmsis_pack/repo/NXP.MK11D5_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
NXP,MK11DA5_DFP,10.0.1,https://mcuxpresso.nxp.com/cmsis_pack/repo/NXP.MK11DA5_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
NXP,MK12D5_DFP,10.0.1,https://mcuxpresso.nxp.com/cmsis_pack/repo/NXP.MK12D5_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
NXP,MK21D5_DFP,10.0.1,https://mcuxpresso.nxp.com/cmsis_pack/repo/NXP.MK21D5_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
NXP,MK21DA5_DFP,10.0.1,https://mcuxpresso.nxp.com/cmsis_pack/repo/NXP.MK21DA5_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
NXP,MK21F12_DFP,10.0.1,https://mcuxpresso.nxp.com/cmsis_pack/repo/NXP.MK21F12_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
NXP,MK21FA12_DFP,10.0.1,https://mcuxpresso.nxp.com/cmsis_pack/repo/NXP.MK21FA12_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
NXP,MK22D5_DFP,10.0.1,https://mcuxpresso.nxp.com/cmsis_pack/repo/NXP.MK22D5_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
NXP,MK22F12_DFP,10.0.1,https://mcuxpresso.nxp.com/cmsis_pack/repo/NXP.MK22F12_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
NXP,MK22FA12_DFP,10.0.1,https://mcuxpresso.nxp.com/cmsis_pack/repo/NXP.MK22FA12_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
NXP,MK24F25612_DFP,10.0.1,https://mcuxpresso.nxp.com/cmsis_pack/repo/NXP.MK24F25612_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
NXP,MKL02Z4_DFP,10.0.1,https://mcuxpresso.nxp.com/cmsis_pack/repo/NXP.MKL02Z4_DFP.pdsc,,,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
